name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Halal Chandni chowk,OPERATIONAL,NA,ChIJ_eBkxlzzwokRNKCFOm8a1mY,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8653005,-73.8613343,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Pelham Pizza,OPERATIONAL,NA,ChIJ01DiSmDzwokRpcwmzwabEJc,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8585523,-73.8682449,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Top Choice,OPERATIONAL,NA,ChIJkZNNeJ_0wokRT864JPWhuCg,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8543465,-73.866033,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
EZ Grill NYC,OPERATIONAL,1,ChIJ49MlNKD0wokRAZEf6-NfnDI,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.854301,-73.864142,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Kennedy Chicken & Sandwichs,OPERATIONAL,1,ChIJH3uloJ_0wokRV_Hhv0Vdq0g,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8545897,-73.8672273,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Lash West Indian & American Cuisine,OPERATIONAL,1,ChIJObNTKELzwokRMsRELncOw_c,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.871159,-73.86319499999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
K & P Jerk And Catering Restaurant,OPERATIONAL,NA,ChIJb6O9rtfzwokRdktGyZ42skc,4.8,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.87232119999999,-73.8512709,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Imperial Cafe,OPERATIONAL,NA,ChIJ1bkbZVjzwokRXcCgxnm7Xps,4,"c(""restaurant"", ""meal_delivery"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.856153,-73.856016,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
The Sanz Banquet Room,OPERATIONAL,NA,ChIJxQv7s-_zwokRSH2ACvk4fGk,2.7,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8657832,-73.8628986,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Pasta Pasta,OPERATIONAL,2,ChIJO_oK86f0wokRG_C8AgOw9Jg,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8547872,-73.8552074,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Steven Restaurant,OPERATIONAL,2,ChIJnWOcNGDzwokRJlcT_yukyhM,3.8,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.858492,-73.8681398,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Golden Eagle Diner,OPERATIONAL,1,ChIJj5jadljzwokRDePL_6gyzgk,4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.85558049999999,-73.85572619999999,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Mr Q's,OPERATIONAL,2,ChIJsQHucFjzwokRFbvO6OH6UUI,4.1,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8557802,-73.8558213,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Golden Krust Caribbean Restaurant,OPERATIONAL,1,ChIJLVnBw2fzwokRwNEUXmoo8FA,3.7,"c(""bakery"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.866028,-73.867134,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Kiraku Japanese Restaurant,OPERATIONAL,2,ChIJb8Jm2Kf0wokRH-aNT2PHVR0,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.853466,-73.8534395,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Sorrento's Pizzeria Restaurant,OPERATIONAL,1,ChIJu2QZ5af0wokR5tiRciA2bbY,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8544679,-73.8543857,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
Fresh Tortillas,OPERATIONAL,NA,ChIJ96ADcFjzwokR_HHJMEBZ5is,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8559732,-73.8558419,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
K Q,OPERATIONAL,1,ChIJ69Um82nzwokRiBmeYKesS4Q,4,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.8712284,-73.8668189,TRUE,"Allerton, Bronx",Allerton, Bronx,2020-06-18,2020-06-19T01:20:22Z,25
