name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
Uva,OPERATIONAL,2,ChIJxYXIbL9YwokR7A8e89BZgGA,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7721816,-73.95561289999999,TRUE,Upper East Side
Sushi of Gari/Upper East Side,CLOSED_TEMPORARILY,4,ChIJs9JDurhYwokRSjnRF8h3US8,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7712773,-73.95281270000001,FALSE,Upper East Side
Flex Mussels,OPERATIONAL,2,ChIJt901K7xYwokRDN0HETz2x3s,4.6,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7762833,-73.9565583,TRUE,Upper East Side
Up Thai,OPERATIONAL,2,ChIJfQ5BQMBYwokR7CxrwWOFFjw,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.769951,-73.9578638,TRUE,Upper East Side
Tanoshi Sushi Sake Bar,OPERATIONAL,3,ChIJd35w0MZYwokR7LgKqfX4tXM,4.8,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76758700000001,-73.95284099999999,TRUE,Upper East Side
The East Pole,CLOSED_TEMPORARILY,3,ChIJbY3-ye5YwokRWOG8XH8DqSw,4.2,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76635,-73.9657833,FALSE,Upper East Side
Naruto Ramen,OPERATIONAL,1,ChIJraOwu6RYwokRrnPWYrww8sk,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.78117779999999,-73.95248889999999,TRUE,Upper East Side
Candle Cafe,OPERATIONAL,2,ChIJ1RRX_79YwokRD0QHGf9YnXw,4.4,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7714726,-73.9591308,TRUE,Upper East Side
JG Melon,OPERATIONAL,2,ChIJORutA8BYwokR6obC5YpaamM,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7710523,-73.9593375,TRUE,Upper East Side
Vaucluse,OPERATIONAL,4,ChIJPwGYBO9YwokRwePwcVC3xVo,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7650225,-73.9676044,TRUE,Upper East Side
Mei Jin Ramen,OPERATIONAL,2,ChIJx1q8UrlYwokRjOmzO2_-otA,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7750295,-73.9535487,TRUE,Upper East Side
Toloache,OPERATIONAL,3,ChIJPcgi0r1YwokRqYsA0cxFcOE,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.776356,-73.9567749,TRUE,Upper East Side
Boqueria,OPERATIONAL,2,ChIJYwAAe79YwokRAzRYCHUFTJY,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7715096,-73.956073,TRUE,Upper East Side
JoJo,OPERATIONAL,3,ChIJI9k11O5YwokRJXZKb8r3CoQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7650865,-73.9657054,TRUE,Upper East Side
Bella Blu,OPERATIONAL,3,ChIJ4Up-r-tYwokR95jJFUROzH0,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7692221,-73.96281970000001,TRUE,Upper East Side
Sushi jin,OPERATIONAL,NA,ChIJ4-kkyVdZwokRc4pwM44G53s,5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7733983,-73.9638262,TRUE,Upper East Side
Yefsi Estiatorio,OPERATIONAL,2,ChIJdVLsiLhYwokRhp04Zh8bHJ0,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7667694,-73.96758609999999,TRUE,Upper East Side
Poke,OPERATIONAL,2,ChIJu25Iu7tYwokRS9eaSuLSwxE,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7834926,-73.9528729,TRUE,Upper East Side
Heidi's House,OPERATIONAL,2,ChIJE9I-Pr9YwokRQh5-2GjSd-A,4.7,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.761917,-73.9605357,TRUE,Upper East Side
Café Boulud,OPERATIONAL,4,ChIJCcAxi5RYwokRdUqdw5_FHIk,4.5,"c(""night_club"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7743295,-73.95367630000001,TRUE,Upper East Side
Eastfields,CLOSED_TEMPORARILY,3,ChIJk2VPj7hYwokRK_yodAgqtEA,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7721816,-73.95561289999999,FALSE,Upper East Side
The Milton,OPERATIONAL,2,ChIJwS85aqVYwokRhmgGaQQc6Ik,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7712773,-73.95281270000001,TRUE,Upper East Side
Luke's Lobster Upper East Side,OPERATIONAL,2,ChIJ8YYpur5YwokRW4TXrqxT-1k,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7762833,-73.9565583,TRUE,Upper East Side
Scalinatella,OPERATIONAL,4,ChIJ60pdq-hYwokRAmZ4jR4yc8g,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.769951,-73.9578638,TRUE,Upper East Side
Quality Eats,OPERATIONAL,3,ChIJ4-AYFL9YwokRUoMMqzGWNaM,4.3,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76758700000001,-73.95284099999999,TRUE,Upper East Side
Felice 83,OPERATIONAL,2,ChIJ9T4AfLlYwokRpcucXUsBIVU,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.76635,-73.9657833,TRUE,Upper East Side
