n,id,2020-05-23,2020-05-24
2,219,NA,The Hamilton
2,220,NA,Brownie's Cafe
2,222,NA,Tom's Delicious Pizza
2,223,NA,Kosher Cafe Nana
2,224,NA,ELIS WINE BAR & RESTAURANT
2,225,NA,Peking Garden
2,226,NA,Shaking Crab
2,228,NA,Taqueria Y Fonda
2,229,NA,John Jay Dining Hall
2,230,NA,Koronet Pizza
2,231,NA,123BSB
2,232,NA,Strokos Gourmet Deli
2,233,NA,Crepes On Columbus
2,234,NA,Miss Mamie's Spoonbread Too
2,236,NA,Panda Express
2,237,NA,Harlem's Floridita
2,238,NA,Ortomare Ristorante Pizzeria
2,239,NA,Thai Market
2,240,NA,Milano Market
2,241,NA,Mountain Bird
2,242,NA,Travertino
2,243,NA,Cascalote
2,244,NA,Bangklyn East Harlem
2,245,NA,Alison Restaurant & Wine Shop
2,246,NA,Cuchifritos
2,247,NA,Bistro Casa Azul
2,248,NA,Daps
2,249,NA,Amor Cubano
2,250,NA,Spaha Soul & Bone Broth
2,251,NA,Lexington
2,252,NA,La Shuk
2,253,NA,East Harlem Bottling Co.
2,254,NA,La Chula Harlem
2,255,NA,Cake Burgers
2,256,NA,La Avenida
2,257,NA,Patsy's Pizzeria
2,258,NA,Nocciola Ristorante
2,259,NA,Taco Mix
2,260,NA,El Aguila
2,262,NA,Sapoara
2,263,NA,Pipo's
2,265,NA,CASSAVA HOUSE
2,266,NA,El Kallejon
2,267,NA,Uptown Veg
2,268,NA,Ricardo
2,270,NA,GAUDir
2,271,NA,Harlem Industrial Kitchen
2,272,NA,Rao's
2,273,NA,Ollin
2,274,NA,Las Delicias Mexicanas
2,275,NA,Milano Pizza Shop
2,276,NA,El Nuevo Caribeño
2,277,NA,El Chevere
2,278,NA,Barcha
2,279,NA,Island Bites
2,280,NA,Guajillo
2,281,NA,A Taste Of Seafood
2,282,NA,Lexington Pizza Parlour
2,283,NA,Yura's Blue Plate
2,284,NA,Burritos Y Mas NY
2,285,NA,El Nuevo Caridad
2,286,NA,Malii Thai Kitchen
2,287,NA,La Nostra Pizzeria
2,288,NA,Halal Kitchen
2,289,NA,El Paso Restaurante
2,290,NA,La Preciosa
2,291,NA,Evelyn's Kitchen
2,292,NA,Sams Famous Pizzeria
2,294,NA,Earl's Beer and Cheese
2,295,NA,Blue Coco
2,296,NA,Elma's in Harlem
2,297,NA,Polash
2,298,NA,Hot Jalapeño Mexican Restaurant
2,299,NA,Charlie's Place
2,300,NA,Quesadillas Doña Maty
2,301,NA,Barney Greengrass
2,302,NA,The Milling Room
2,303,NA,The Ribbon
2,305,NA,Jacob's Pickles
2,306,NA,The Mermaid Inn
2,307,NA,Luke's Lobster Upper West Side - Temporarily Closed
2,308,NA,Boulud Sud
2,309,NA,Cafe Luxembourg
2,310,NA,Fine & Schapiro
2,311,NA,Leonti
2,312,NA,TESSA
2,313,NA,Crave Fishbar
2,314,NA,Sushi Yasaka
2,315,NA,Celeste
2,317,NA,Oxbow Tavern
2,318,NA,Nice Matin
2,320,NA,La Mirabelle
2,321,NA,Awadh
2,322,NA,Kefi
2,324,NA,Fred's
2,326,NA,Playa Betty's
2,327,NA,Gari Columbus
2,329,NA,Carmine’s Italian Restaurant- Upper West Side
2,330,NA,Bodrum
2,331,NA,Jin Ramen
2,332,NA,Shun Lee West
2,333,NA,Pappardella
2,334,NA,Coppola's West
2,335,NA,Calle Ocho
2,336,NA,Seven Hills Mediterranean Grill
2,337,NA,Peacefood Cafe
2,338,NA,Bustan NYC
2,339,NA,Gazala’s
2,340,NA,Gennaro
2,342,NA,Hummus Place
2,343,NA,Jean-Georges
2,344,NA,Maison Pickle
2,345,NA,108 Food Dried Hot Pot
2,346,NA,Gray's Papaya
2,347,NA,La Sirène Upper West Side
2,348,NA,Mokum
2,350,NA,Land Thai Kitchen
2,352,NA,Boilery
2,354,NA,Pio Pio 6
2,355,NA,Pizzeria Sirenetta
2,356,NA,Elea
2,357,NA,Good Enough To Eat
2,358,NA,Sala Thai
2,359,NA,Viand Cafe
2,360,NA,Blossom on Columbus
2,361,NA,Flora Bar
2,362,NA,Daniel
2,363,NA,Sfoglia
2,364,NA,Sushi Seki
2,365,NA,Sandro's
2,366,NA,Uva
2,368,NA,Sushi of Gari/Upper East Side
2,369,NA,Up Thai
2,370,NA,Tanoshi Sushi Sake Bar
2,371,NA,The East Pole
2,372,NA,Naruto Ramen
2,373,NA,Candle Cafe
2,374,NA,Vaucluse
2,375,NA,JG Melon
2,376,NA,Mei Jin Ramen
2,379,NA,JoJo
2,380,NA,Bella Blu
2,381,NA,Yefsi Estiatorio
2,382,NA,Poke
2,383,NA,Café Boulud
2,384,NA,Eastfields
2,386,NA,The Milton
2,387,NA,Scalinatella
2,388,NA,Felice 83
2,389,NA,THEP Thai Restaurant
2,390,NA,Luke's Lobster Upper East Side
2,391,NA,Amali
2,392,NA,Pascalou
2,393,NA,La Esquina - UES
2,394,NA,Il Divo
2,396,NA,Paola's
2,397,NA,Calexico
2,398,NA,Mission Ceviche - Restaurant & Bar
2,400,NA,Match 65 Brasserie
2,401,NA,The Penrose
2,402,NA,San Matteo Pizzeria e Cucina
2,404,NA,Via Quadronno
2,407,NA,Caravaggio
2,408,NA,David Burke Tavern
2,410,NA,Tri Dim Shanghai Restaurant and Bar 鼎豐
2,411,NA,Jones Wood Foundry
2,413,NA,Kappo Masa
2,414,NA,Erminia
2,415,NA,Tiella
2,416,NA,Heidi's House
2,417,NA,Angkor Cambodian Bistro
2,418,NA,Avra Madison Estiatorio
2,419,NA,OM
2,420,NA,Moti Mahal Delux
2,421,NA,Pure Thai Cookhouse
2,422,NA,Taboon
2,423,NA,44 & X Hell's Kitchen
2,424,NA,Hell's Kitchen
2,425,NA,Briciola
2,426,NA,Il Melograno
2,427,NA,Kashkaval Garden
2,428,NA,Samba Kitchen
2,429,NA,Tavola
2,430,NA,PRINT.
2,431,NA,El Centro
2,432,NA,Etcetera Etcetera
2,433,NA,The Marshal
2,434,NA,IL Punto
2,435,NA,Masseria dei Vini
2,436,NA,The Blue Dog Cookhouse and Bar
2,437,NA,Patzeria Family & Friends
2,439,NA,Rustic table
2,440,NA,Ippudo Westside
2,441,NA,Mercato
2,442,NA,Danji
2,444,NA,K Rico Steakhouse
2,446,NA,Wondee Siam
2,447,NA,Esca
2,448,NA,Rice 'n' Beans
2,449,NA,Fluffy's Cafe & Pizzeria
2,450,NA,Empanada Mama
2,453,NA,Talad Wat
2,454,NA,The Harrow New York
2,455,NA,Mamasita Bar & Grill
2,456,NA,Capizzi
2,457,NA,Tacuba
2,458,NA,Amarone NY
2,459,NA,Hourglass Tavern
2,460,NA,Corner Slice
2,461,NA,Hold Fast Kitchen and Spirits
2,462,NA,Casellula
2,463,NA,Non Solo Piada
2,464,NA,Blue Seafood Bar
2,465,NA,The Greek Kitchen
2,466,NA,Bocca di Bacco
2,467,NA,La Pulperia HK
2,468,NA,Noodies Thai Kitchen
2,469,NA,Poulette
2,470,NA,Casa Nonna
2,473,NA,Pure Ktchn
2,474,NA,At Nine Restaurant & Bar
2,476,NA,Ousia
2,478,NA,B Squared
2,479,NA,Añejo
2,480,NA,Pio Pio 8
2,481,NA,La Masseria
2,483,NA,Trattoria Trecolori
2,484,NA,Lillie's Victorian Establishment
2,487,NA,Joe Allen
2,491,NA,Ootoya - Times Square
2,492,NA,Daniela Trattoria
2,493,NA,Glass House Tavern
2,497,NA,The Perfect Pint
2,498,NA,Havana Central Times Square
2,500,NA,The Ribbon — Midtown 44st
2,502,NA,Osteria al Doge
2,503,NA,Da Marino
2,504,NA,O'Lunney's
2,505,NA,P.S. Kitchen
2,506,NA,Del Frisco's Double Eagle Steakhouse
2,507,NA,Cielo
2,508,NA,Blue Fin
2,509,NA,Victor's Cafe
2,510,NA,Pergola Des Artistes
2,512,NA,Margon
2,513,NA,Hard Rock Cafe
2,514,NA,Azalea
2,515,NA,The Lambs Club
2,516,NA,Connolly's Pub & Restaurant
2,517,NA,Bobby Van's Grill Times Square
2,518,NA,Bond 45 NY
2,520,NA,John's of Times Square
2,521,NA,Paul's on Times Square
2,522,NA,The Palm - Palm West
2,523,NA,Virgil's Real BBQ - Times Square
2,525,NA,Dos Caminos
2,526,NA,Hunt & Fish Club
2,527,NA,Patzeria Perfect Pizza
2,531,NA,Hurley's Restaurant & Bar
2,533,NA,Scarlatto
2,536,NA,Pongsri Thai Restaurant
2,537,NA,Cafe Un Deux Trois
2,541,NA,Gabriel Kreuther
2,542,NA,The Modern
2,544,NA,THE GRILL
2,545,NA,Empellon
2,546,NA,La Grenouille
2,549,NA,Nerai
2,550,NA,Izakaya MEW
